file_path,authors,year,title,journal,url,license_url,license
papers\pdfs\tech\Calibration of Stochastic Computer Simulators Using Likelihood Emulation.pdf,"Jeremy E. Oakley, Benjamin D. Youngman",2017.0,Calibration of Stochastic Computer Simulators Using Likelihood Emulation,Technometrics,http://dx.doi.org/10.1080/00401706.2015.1125391,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Most Recent Changepoint Detection in Panel Data.pdf,"Lawrence Bardwell, Paul Fearnhead, Idris A. Eckley, Simon Smith, Martin Spott",2019.0,Most Recent Changepoint Detection in Panel Data,Technometrics,http://dx.doi.org/10.1080/00401706.2018.1438926,http://creativecommons.org/licenses/by/4.0,by
papers\pdfs\tech\Bayesian Design of Experiments Using Approximate Coordinate Exchange.pdf,"Antony M. Overstall, David C. Woods",2017.0,Bayesian Design of Experiments Using Approximate Coordinate Exchange,Technometrics,http://dx.doi.org/10.1080/00401706.2016.1251495,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Decision-Oriented Two-Parameter Fisher Information Sensitivity Using Symplectic Decomposition.pdf,Jiannan Yang,,Decision-Oriented Two-Parameter Fisher Information Sensitivity Using Symplectic Decomposition,Technometrics,http://dx.doi.org/10.1080/00401706.2023.2216251,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Bayesian Modeling and Inference for One-Shot Experiments.pdf,"Jonathan Rougier, Andrew Duncan",,Bayesian Modeling and Inference for One-Shot Experiments,Technometrics,http://dx.doi.org/10.1080/00401706.2023.2224524,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Robust Function-on-Function Regression.pdf,"Harjit Hullait, David S. Leslie, Nicos G. Pavlidis, Steve King",2021.0,Robust Function-on-Function Regression,Technometrics,http://dx.doi.org/10.1080/00401706.2020.1802350,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Model Mixing Using Bayesian Additive Regression Trees.pdf,"John C. Yannotty, Thomas J. Santner, Richard J. Furnstahl, Matthew T. Pratola",,Model Mixing Using Bayesian Additive Regression Trees,Technometrics,http://dx.doi.org/10.1080/00401706.2023.2257765,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Class Maps for Visualizing Classification Results.pdf,"Jakob Raymaekers, Peter J. Rousseeuw, Mia Hubert",2022.0,Class Maps for Visualizing Classification Results,Technometrics,http://dx.doi.org/10.1080/00401706.2021.1927849,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Detecting Changes in Covariance via Random Matrix Theory.pdf,"Sean Ryan, Rebecca Killick",2023.0,Detecting Changes in Covariance via Random Matrix Theory,Technometrics,http://dx.doi.org/10.1080/00401706.2023.2183261,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qe\Data-driven maintenance priority recommendations for civil aircraft engine fleets using reliability-based bivariate cluster analysis.pdf,"Hang Zhou, Ajith Kumar Parlikad, Alexandra Brintrup",2023.0,Data-driven maintenance priority recommendations for civil aircraft engine fleets using reliability-based bivariate cluster analysis,Quality Engineering,http://dx.doi.org/10.1080/08982112.2022.2163179,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qe\The revised Tennessee Eastman process simulator as testbed for SPC and DoE methods.pdf,"Francesca Capaci, Erik Vanhatalo, Murat Kulahci, Bjarne Bergquist",2019.0,The revised Tennessee Eastman process simulator as testbed for SPC and DoE methods,Quality Engineering,http://dx.doi.org/10.1080/08982112.2018.1461905,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qe\A web-based tool to design and analyze single- and double-stage acceptance sampling plans.pdf,"Stijn Luca, Johan Vandercappellen, Johan Claes",2020.0,A web-based tool to design and analyze single- and double-stage acceptance sampling plans,Quality Engineering,http://dx.doi.org/10.1080/08982112.2019.1641207,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qe\A head-to-head comparative study of the conditional performance of control charts based on estimated parameters.pdf,"Inez M. Zwetsloot, William H. Woodall",2017.0,A head-to-head comparative study of the conditional performance of control charts based on estimated parameters,Quality Engineering,http://dx.doi.org/10.1080/08982112.2016.1237651,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qe\Phase II control charts for monitoring dispersion when parameters are estimated.pdf,"M. D. Diko, R. Goedhart, S. Chakraborti, R. J. M. M. Does, E. K. Epprecht",2017.0,Phase II control charts for monitoring dispersion when parameters are estimated,Quality Engineering,http://dx.doi.org/10.1080/08982112.2017.1288915,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qe\Optimized control charts using indifference regions.pdf,"Alex Kuiper, Rob Goedhart",,Optimized control charts using indifference regions,Quality Engineering,http://dx.doi.org/10.1080/08982112.2023.2218904,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Remaining service life prediction based on gray model and empirical Bayesian with.pdf,"Xiaochuan Li, David Mba, Edmund Okoroigwe, Tianran Lin",2021.0,Remaining service life prediction based on gray model and empirical Bayesian with applications to compressors and pumps,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2756,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\Another objection to the homogeneously weighted moving average control chart.pdf,Sven Knoth,2023.0,Another objection to the homogeneously weighted moving average control chart,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3242,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Discrimination between accelerated life models via Approximate Bayesian.pdf,"Mohamed Rabhi, Anis Ben Abdessalem, Laurent Saintis, Bruno Castanier, Rodrigue Sohoin",2023.0,Discrimination between accelerated life models via Approximate Bayesian Computation,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3283,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Robust online active learning.pdf,"Davide Cacciarelli, Murat Kulahci, John Sølve Tyssedal",2024.0,Robust online active learning,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3392,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Variable selection wrapper in presence of correlated input variables for random.pdf,"Marta Rotari, Murat Kulahci",2024.0,Variable selection wrapper in presence of correlated input variables for random forest models,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3398,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\Availability analysis of redundant and replicated cloud services with.pdf,"Otto Bibartiu, Frank Dürr, Kurt Rothermel, Beate Ottenwälder, Andreas Grau",2024.0,Availability analysis of redundant and replicated cloud services with Bayesian networks,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3414,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Comparison of threshold tuning methods for predictive monitoring.pdf,"Paulina von Stackelberg, Rob Goedhart, Ş. İlker Birbil, Ronald J. M. M. Does",2024.0,Comparison of threshold tuning methods for predictive monitoring,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3436,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\Critical assessment of medical devices on reliability  replacement.pdf,"Mohd Effendi Amran, Sa'ardin Abdul Aziz, Mohd Nabil Muhtazaruddin, Maslin Masrom, Habibah Norehan Haron, Nurul Aini Bani, Mohd Azri Mohd Izhar, Sahnius Usman, Shamsul Sarip, Siti Sara Najamudin, Aizat Hilmi Zamzam, Ahmad Safwan Ahmad Kamil, Nurul Farhana Azilah, Firdaus Muhammad‐Sukki",,"Critical assessment of medical devices on reliability, replacement prioritization and maintenance strategy criterion: Case study of Malaysian hospitals",Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3447,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Reliability analysis of a loading dependent system with cascading failures.pdf,"Yixin Zhao, Tianqi Sun, Yiliu Liu",,Reliability analysis of a loading dependent system with cascading failures considering overloads,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3475,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\Optimal inspection for randomly triggered hidden deterioration processes.pdf,"Ayman Hijazy, András Zempléni",2020.0,Optimal inspection for randomly triggered hidden deterioration processes,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2707,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Control charts for monitoring a Poisson hidden Markov process.pdf,"Sebastian Ottenstreuer, Christian H. Weiß, Sven Knoth",2021.0,Control charts for monitoring a Poisson hidden Markov process,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2745,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Statistical testing for sufficient control chart performances during.pdf,"Kevin Nikolai Kostyszyn, Tobias Claus Brandstätter, Thomas Vollmer, Robert Schmitt",2021.0,Statistical testing for sufficient control chart performances during monitoring of grouped processes,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2875,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Monitoring count time series  Robustness to nonlinearity when linear models are.pdf,"Christian H. Weiß, Murat Caner Testik",2022.0,Monitoring count time series: Robustness to nonlinearity when linear models are utilized,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3215,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\A bootstrap method for the measurement error estimation in Gauge R R.pdf,Giovanni Celano,2022.0,A bootstrap method for the measurement error estimation in Gauge R&amp;R$R{\&amp;}R$ Studies,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3137,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Optimisation of laser welding of deep drawing steel for automotive.pdf,"Giacomo Maculotti, Gianfranco Genta, Maurizio Galetto",2024.0,Optimisation of laser welding of deep drawing steel for automotive applications by Machine Learning: A comparison of different techniques,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3377,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\On monitoring industrial processes under feedback control.pdf,"Francesca Capaci, Erik Vanhatalo, Ahmet Palazoglu, Bjarne Bergquist, Murat Kulahci",2020.0,On monitoring industrial processes under feedback control,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2676,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Detection of circlelike overlapping objects in thermal spray images.pdf,"Dominik Kirchhoff, Sonja Kuhnt, Louise Bloch, Christine H. Müller",2020.0,Detection of circlelike overlapping objects in thermal spray images,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2689,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\Second‐level global sensitivity analysis of numerical simulators with.pdf,"Anouar Meynaoui, Amandine Marrel, Béatrice Laurent",2023.0,Second‐level global sensitivity analysis of numerical simulators with application to an accident scenario in a sodium‐cooled fast reactor,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3157,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\Novel Bayesian CUSUM and EWMA control charts via various loss functions for.pdf,"Chelsea L. Jones, Abdel‐Salam G. Abdel‐Salam, D'Arcy Mays",2023.0,Novel Bayesian CUSUM and EWMA control charts via various loss functions for monitoring processes,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3229,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Communicating statistical conclusions of experiments to scientists.pdf,"Martin Otava, Kalliopi Mylona",2020.0,Communicating statistical conclusions of experiments to scientists,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2697,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Efficient homogeneously weighted dispersion control charts with an application.pdf,"Saddam Akber Abbasi, Sara Hussam Nassar, Mashael Mohammed Aldosari, Olatunde A. Adeoti",2021.0,Efficient homogeneously weighted dispersion control charts with an application to distillation process,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2904,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Robust inference for nondestructive one‐shot device testing under.pdf,"Narayanaswamy Balakrishnan, Elena Castilla, María Jaenada, Leandro Pardo",2023.0,Robust inference for nondestructive one‐shot device testing under step‐stress model with exponential lifetimes,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3287,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Three‐stage feature selection approach for deep learning‐based RUL prediction.pdf,"Youdao Wang, Yifan Zhao",2023.0,Three‐stage feature selection approach for deep learning‐based RUL prediction methods,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3288,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Prediction intervals for load‐sharing systems in accelerated life testing.pdf,"Kevin Leckey, Christine H. Müller, Sebastian Szugat, Reinhard Maurer",2020.0,Prediction intervals for load‐sharing systems in accelerated life testing,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2664,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\An assessment of practitioners approaches to forecasting in the presence of.pdf,"Jamie‐Leigh Chapman, Rebecca Killick",2020.0,An assessment of practitioners approaches to forecasting in the presence of changepoints,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2712,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Three‐level designs  Evaluation and comparison for screening purposes.pdf,"Mohammed Alomair, Stelios Georgiou, Stella Stylianou",2021.0,Three‐level designs: Evaluation and comparison for screening purposes,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2722,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Functional regression control chart for monitoring ship CO2   2   emissions.pdf,"Christian Capezza, Fabio Centofanti, Antonio Lepore, Alessandra Menafoglio, Biagio Palumbo, Simone Vantini",2022.0,Functional regression control chart for monitoring ship CO2$_{2}$ emissions,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2949,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Predictive monitoring using machine learning algorithms and a real‐life.pdf,"Leo C. E. Huberts, Ronald J. M. M. Does, Bastian Ravesteijn, Joran Lokkerbol",2022.0,Predictive monitoring using machine learning algorithms and a real‐life example on schizophrenia,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2957,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\An expanded case against synthetic‐type control charts.pdf,Sven Knoth,2022.0,An expanded case against synthetic‐type control charts,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.3128,http://creativecommons.org/licenses/by-nc/4.0/,bync
papers\pdfs\qrei\A one‐class peeling method for multivariate outlier detection with.pdf,"Waldyn G. Martinez, Maria L. Weese, L. Allison Jones-Farmer",2020.0,A one‐class peeling method for multivariate outlier detection with applications in phase I SPC,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2629,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Efficient monitoring of coefficient of variation with an application to.pdf,"Tahir Mahmood, Saddam Akber Abbasi",2021.0,Efficient monitoring of coefficient of variation with an application to chemical reactor process,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2785,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Gaussian process regression‐based detection and correction of disturbances.pdf,"Giacomo Maculotti, Gianfranco Genta, Danilo Quagliotti, Maurizio Galetto, Hans N. Hansen",2022.0,Gaussian process regression‐based detection and correction of disturbances in surface topography measurements,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2980,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Semiparametric MEWMA for Phase II profile monitoring.pdf,"Sara H. Nassar, Abdel‐Salam G. Abdel‐Salam",2021.0,Semiparametric MEWMA for Phase II profile monitoring,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2829,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Diagnostics and prognostics for complex systems  A review of methods and.pdf,"Morteza Soleimani, Felician Campean, Daniel Neagu",2021.0,Diagnostics and prognostics for complex systems: A review of methods and challenges,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2947,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\On the design of control charts with guaranteed conditional performance under.pdf,"Ronald J.M.M. Does, Rob Goedhart, William H. Woodall",2020.0,On the design of control charts with guaranteed conditional performance under estimated parameters,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2658,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\Explainable AI methods in cyber risk management.pdf,"Paolo Giudici, Emanuela Raffinetti",2022.0,Explainable AI methods in cyber risk management,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2939,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qrei\The Shiryaev Roberts control chart for Markovian count time series.pdf,Sebastian Ottenstreuer,2022.0,The Shiryaev–Roberts control chart for Markovian count time series,Quality and Reliability Engineering International,http://dx.doi.org/10.1002/qre.2945,http://creativecommons.org/licenses/by-nc/4.0/,bync
